# 직장인 재충전소 — 블로그 카테고리 120 (직장인 번아웃형 · 야근·스트레스·번아웃)
# 형식: 번호|카테고리명|슬러그|대분류

76|책상명상5분|desk-meditation|호흡·명상
77|마음챙김|mindfulness|호흡·명상
78|바디스캔|body-scan|호흡·명상
79|출근전호흡|morning-commute-breath|호흡·명상
80|퇴근후명상|after-work-meditation|호흡·명상
81|재택근무피로|wfh-fatigue|재택·하이브리드
82|줌피로|zoom-fatigue|재택·하이브리드
83|재택자세|wfh-posture|재택·하이브리드
84|집책상세팅|home-desk-setup|재택·하이브리드
85|재택경계설정|wfh-boundary|재택·하이브리드
86|하이브리드출근|hybrid-commute|재택·하이브리드
87|화상회의휴식|video-meeting-break|재택·하이브리드
88|재택후회복|after-wfh-recovery|재택·하이브리드
89|출근길스트레스|commute-stress|출퇴근·이동
90|퇴근루틴|commute-home-routine|출퇴근·이동
91|지하철이완|subway-relax|출퇴근·이동
92|운전피로|driving-fatigue|출퇴근·이동
93|출장피로|business-trip-fatigue|출퇴근·이동
94|호텔출장회복|hotel-recovery|출퇴근·이동
95|점심산책|lunch-walk|출퇴근·이동
96|직장인영양|office-nutrition|영양·에너지
97|점심도시락|lunch-box|영양·에너지
98|카페인컷|cafine-cut|영양·에너지
99|오후에너지|afternoon-energy|영양·에너지
100|혈당관리|blood-sugar-balance|영양·에너지
101|수분섭취|hydration-office|영양·에너지
102|간헐적단식직장인|intermittent-fasting-work|영양·에너지
103|워라밸|work-life-balance|워라밸·경계
104|퇴근후차단|after-hours-off|워라밸·경계
105|휴가계획|vacation-planning|워라밸·경계
106|거절하는법|saying-no|워라밸·경계
107|업무량조절|workload-control|워라밸·경계
108|일휴균형|rest-work-balance|워라밸·경계
109|디지털디톡스|digital-detox|워라밸·경계
110|주말재충전|weekend-recharge|루틴·습관
111|월요병|monday-blues|루틴·습관
112|금요리워드|friday-reward|루틴·습관
113|아침루틴|morning-routine|루틴·습관
114|7일회복루틴|7day-recovery|루틴·습관
115|15분미니루틴|15min-mini-routine|루틴·습관
116|습관트래킹|habit-tracking|루틴·습관
117|동료소통|coworker-communication|관계·소통
118|상사대화|talk-to-boss|관계·소통
119|번아웃FAQ|burnout-faq|기록·콘텐츠
120|직장인재충전총정리|office-recharge-guide|기록·콘텐츠
